"Portions and Weights
2017-2018 Food and Nutrient Database for Dietary Studies - At A Glance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",,,,,,,,
Food code,Main food description,Subcode,Subcode description,WWEIA Category number,WWEIA Category description,Seq num,Portion description,Portion weight (g)
23203100,"Veal chop, broiled, NS as to fat eaten",,,2002,"Beef, excludes ground",6,"1 cubic inch, boneless, cooked",17
23203100,"Veal chop, broiled, NS as to fat eaten",,,2002,"Beef, excludes ground",7,"1 cup, cooked, diced",134
23203100,"Veal chop, broiled, NS as to fat eaten",,,2002,"Beef, excludes ground",8,Quantity not specified,134
23203110,"Veal chop, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",1,"1 small chop (4.75 oz, with bone, raw) (yield after cooking, bone removed)",78
23203110,"Veal chop, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",2,"1 medium (6.5 oz, with bone, raw) (yield after cooking, bone removed)",107
23203110,"Veal chop, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",3,"1 large (8.25 oz, with bone, raw) (yield after cooking, bone removed)",136
23203110,"Veal chop, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",4,"1 oz, with bone, cooked (yield after bone removed)",23
23203110,"Veal chop, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",5,"1 oz, with bone, raw (yield after cooking, bone removed)",16
23203110,"Veal chop, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",6,"1 cubic inch, boneless, cooked",17
23203110,"Veal chop, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",7,"1 cup, cooked, diced",134
23203110,"Veal chop, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",8,Quantity not specified,134
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",1,"1 small chop (4.75 oz, with bone, raw) (yield after cooking, bone and fat removed)",62
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",2,"1 medium (6.5 oz, with bone, raw) (yield after cooking, bone and fat removed)",85
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",3,"1 large (8.25 oz, with bone, raw) (yield after cooking, bone and fat removed)",108
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",4,"1 oz, with bone, cooked, lean only (yield after bone removed)",22
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",5,"1 oz, with bone, raw, lean only (yield after cooking, bone removed)",17
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",6,"1 oz, with bone, cooked (yield after bone and fat removed)",20
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",7,"1 oz, with bone, raw (yield after cooking, bone and fat removed)",13
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",8,"1 cubic inch, boneless, cooked, fat removed",17
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",9,"1 cup, cooked, diced",134
23203120,"Veal chop, broiled, lean only eaten",,,2002,"Beef, excludes ground",10,Quantity not specified,134
23204010,"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten",,,2002,"Beef, excludes ground",1,"1 oz, boneless, cooked",28.35
23204010,"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten",,,2002,"Beef, excludes ground",2,"1 oz, boneless, raw (yield after cooking)",19
23204010,"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten",,,2002,"Beef, excludes ground",3,"1 cubic inch, boneless, cooked",17
23204010,"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten",,,2002,"Beef, excludes ground",4,"1 cup, cooked, diced",134
23204010,"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten",,,2002,"Beef, excludes ground",5,Quantity not specified,134
23204020,"Veal cutlet or steak, NS as to cooking method, lean and fat eaten",,,2002,"Beef, excludes ground",1,"1 oz, boneless, cooked",28.35
23204020,"Veal cutlet or steak, NS as to cooking method, lean and fat eaten",,,2002,"Beef, excludes ground",2,"1 oz, boneless, raw (yield after cooking)",19
23204020,"Veal cutlet or steak, NS as to cooking method, lean and fat eaten",,,2002,"Beef, excludes ground",3,"1 cubic inch, boneless, cooked",17
23204020,"Veal cutlet or steak, NS as to cooking method, lean and fat eaten",,,2002,"Beef, excludes ground",4,"1 cup, cooked, diced",134
23204020,"Veal cutlet or steak, NS as to cooking method, lean and fat eaten",,,2002,"Beef, excludes ground",5,Quantity not specified,134
23204030,"Veal cutlet or steak, NS as to cooking method, lean only eaten",,,2002,"Beef, excludes ground",1,"1 oz, boneless, cooked, lean only",28.35
23204030,"Veal cutlet or steak, NS as to cooking method, lean only eaten",,,2002,"Beef, excludes ground",2,"1 oz, boneless, raw, lean only (yield after cooking)",19
23204030,"Veal cutlet or steak, NS as to cooking method, lean only eaten",,,2002,"Beef, excludes ground",3,"1 oz, boneless, cooked (yield after fat removed)",26
23204030,"Veal cutlet or steak, NS as to cooking method, lean only eaten",,,2002,"Beef, excludes ground",4,"1 oz, boneless, raw (yield after cooking, fat removed)",16
23204030,"Veal cutlet or steak, NS as to cooking method, lean only eaten",,,2002,"Beef, excludes ground",5,"1 cubic inch, boneless, cooked, fat removed",17
23204030,"Veal cutlet or steak, NS as to cooking method, lean only eaten",,,2002,"Beef, excludes ground",6,"1 cup, cooked, diced",134
23204030,"Veal cutlet or steak, NS as to cooking method, lean only eaten",,,2002,"Beef, excludes ground",7,Quantity not specified,134
23204200,"Veal cutlet or steak, broiled, NS as to fat eaten",,,2002,"Beef, excludes ground",1,"1 oz, boneless, cooked",28.35
23204200,"Veal cutlet or steak, broiled, NS as to fat eaten",,,2002,"Beef, excludes ground",2,"1 oz, boneless, raw (yield after cooking)",19
23204200,"Veal cutlet or steak, broiled, NS as to fat eaten",,,2002,"Beef, excludes ground",3,"1 cubic inch, boneless, cooked",17
23204200,"Veal cutlet or steak, broiled, NS as to fat eaten",,,2002,"Beef, excludes ground",4,"1 cup, cooked, diced",134
23204200,"Veal cutlet or steak, broiled, NS as to fat eaten",,,2002,"Beef, excludes ground",5,1 cutlet,85
23204200,"Veal cutlet or steak, broiled, NS as to fat eaten",,,2002,"Beef, excludes ground",6,Quantity not specified,134
23204210,"Veal cutlet or steak, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",1,"1 oz, boneless, cooked",28.35
23204210,"Veal cutlet or steak, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",2,"1 oz, boneless, raw (yield after cooking)",19
23204210,"Veal cutlet or steak, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",3,"1 cubic inch, boneless, cooked",17
23204210,"Veal cutlet or steak, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",4,"1 cup, cooked, diced",134
23204210,"Veal cutlet or steak, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",5,1 cutlet,85
23204210,"Veal cutlet or steak, broiled, lean and fat eaten",,,2002,"Beef, excludes ground",6,Quantity not specified,134
23204220,"Veal cutlet or steak, broiled, lean only eaten",,,2002,"Beef, excludes ground",1,"1 oz, boneless, cooked, lean only",28.35
23204220,"Veal cutlet or steak, broiled, lean only eaten",,,2002,"Beef, excludes ground",2,"1 oz, boneless, raw, lean only (yield after cooking)",19
23204220,"Veal cutlet or steak, broiled, lean only eaten",,,2002,"Beef, excludes ground",3,"1 oz, boneless, cooked (yield after fat removed)",26
23204220,"Veal cutlet or steak, broiled, lean only eaten",,,2002,"Beef, excludes ground",4,"1 oz, boneless, raw (yield after cooking, fat removed)",16
23204220,"Veal cutlet or steak, broiled, lean only eaten",,,2002,"Beef, excludes ground",5,"1 cubic inch, boneless, cooked, fat removed",17
23204220,"Veal cutlet or steak, broiled, lean only eaten",,,2002,"Beef, excludes ground",6,"1 cup, cooked, diced",134
23204220,"Veal cutlet or steak, broiled, lean only eaten",,,2002,"Beef, excludes ground",7,1 cutlet,77
23204220,"Veal cutlet or steak, broiled, lean only eaten",,,2002,"Beef, excludes ground",8,Quantity not specified,134
23205010,"Veal cutlet or steak, fried, NS as to fat eaten",,,2002,"Beef, excludes ground",1,"1 oz, boneless, cooked",28.35
23205010,"Veal cutlet or steak, fried, NS as to fat eaten",,,2002,"Beef, excludes ground",2,"1 oz, boneless, raw (yield after cooking)",19
23205010,"Veal cutlet or steak, fried, NS as to fat eaten",,,2002,"Beef, excludes ground",3,"1 oz, boneless, raw, breaded (yield after cooking)",23
23205010,"Veal cutlet or steak, fried, NS as to fat eaten",,,2002,"Beef, excludes ground",4,"1 cubic inch, boneless, cooked",17
23205010,"Veal cutlet or steak, fried, NS as to fat eaten",,,2002,"Beef, excludes ground",5,"1 cup, cooked, diced",134
23205010,"Veal cutlet or steak, fried, NS as to fat eaten",,,2002,"Beef, excludes ground",6,1 cutlet,85
23205010,"Veal cutlet or steak, fried, NS as to fat eaten",,,2002,"Beef, excludes ground",7,Quantity not specified,134
23205020,"Veal cutlet or steak, fried, lean and fat eaten",,,2002,"Beef, excludes ground",1,"1 oz, boneless, cooked",28.35
23205020,"Veal cutlet or steak, fried, lean and fat eaten",,,2002,"Beef, excludes ground",2,"1 oz, boneless, raw (yield after cooking)",19
23205020,"Veal cutlet or steak, fried, lean and fat eaten",,,2002,"Beef, excludes ground",3,"1 oz, boneless, raw, breaded (yield after cooking)",23
23205020,"Veal cutlet or steak, fried, lean and fat eaten",,,2002,"Beef, excludes ground",4,"1 cubic inch, boneless, cooked",17
23205020,"Veal cutlet or steak, fried, lean and fat eaten",,,2002,"Beef, excludes ground",5,"1 cup, cooked, diced",134
23205020,"Veal cutlet or steak, fried, lean and fat eaten",,,2002,"Beef, excludes ground",6,1 cutlet,85
23205020,"Veal cutlet or steak, fried, lean and fat eaten",,,2002,"Beef, excludes ground",7,Quantity not specified,134
23205030,"Veal cutlet or steak, fried, lean only eaten",,,2002,"Beef, excludes ground",1,"1 oz, boneless, cooked, lean only",28.35
23205030,"Veal cutlet or steak, fried, lean only eaten",,,2002,"Beef, excludes ground",2,"1 oz, boneless, raw, lean only (yield after cooking)",19
23205030,"Veal cutlet or steak, fried, lean only eaten",,,2002,"Beef, excludes ground",3,"1 oz, boneless, cooked (yield after fat removed)",26
23205030,"Veal cutlet or steak, fried, lean only eaten",,,2002,"Beef, excludes ground",4,"1 oz, boneless, raw (yield after cooking, fat removed)",16
23205030,"Veal cutlet or steak, fried, lean only eaten",,,2002,"Beef, excludes ground",5,"1 oz, boneless, raw, breaded (yield after cooking, fat removed)",21
23205030,"Veal cutlet or steak, fried, lean only eaten",,,2002,"Beef, excludes ground",6,"1 cubic inch, boneless, cooked, fat removed",17
23205030,"Veal cutlet or steak, fried, lean only eaten",,,2002,"Beef, excludes ground",7,"1 cup, cooked, diced",134
23205030,"Veal cutlet or steak, fried, lean only eaten",,,2002,"Beef, excludes ground",8,1 cutlet,77
23205030,"Veal cutlet or steak, fried, lean only eaten",,,2002,"Beef, excludes ground",9,Quantity not specified,134
23210010,"Veal, roasted, NS as to fat eaten",,,2002,"Beef, excludes ground",1,"1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21
23210010,"Veal, roasted, NS as to fat eaten",,,2002,"Beef, excludes ground",2,"1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42
23210010,"Veal, roasted, NS as to fat eaten",,,2002,"Beef, excludes ground",3,"1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63
23210010,"Veal, roasted, NS as to fat eaten",,,2002,"Beef, excludes ground",4,"1 oz, boneless, cooked",28.35
23210010,"Veal, roasted, NS as to fat eaten",,,2002,"Beef, excludes ground",5,"1 oz, boneless, raw (yield after cooking)",21
23210010,"Veal, roasted, NS as to fat eaten",,,2002,"Beef, excludes ground",6,"1 cubic inch, boneless, cooked",17
23210010,"Veal, roasted, NS as to fat eaten",,,2002,"Beef, excludes ground",7,"1 cup, cooked, diced",134
23210010,"Veal, roasted, NS as to fat eaten",,,2002,"Beef, excludes ground",8,Quantity not specified,67
23210020,"Veal, roasted, lean and fat eaten",,,2002,"Beef, excludes ground",1,"1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21
23210020,"Veal, roasted, lean and fat eaten",,,2002,"Beef, excludes ground",2,"1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42
23210020,"Veal, roasted, lean and fat eaten",,,2002,"Beef, excludes ground",3,"1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63
23210020,"Veal, roasted, lean and fat eaten",,,2002,"Beef, excludes ground",4,"1 oz, boneless, cooked",28.35
23210020,"Veal, roasted, lean and fat eaten",,,2002,"Beef, excludes ground",5,"1 oz, boneless, raw (yield after cooking)",21
23210020,"Veal, roasted, lean and fat eaten",,,2002,"Beef, excludes ground",6,"1 cubic inch, boneless, cooked",17
23210020,"Veal, roasted, lean and fat eaten",,,2002,"Beef, excludes ground",7,"1 cup, cooked, diced",134
23210020,"Veal, roasted, lean and fat eaten",,,2002,"Beef, excludes ground",8,Quantity not specified,67
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",1,"1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",2,"1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",3,"1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",4,"1 oz, boneless, cooked, lean only",28.35
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",5,"1 oz, boneless, raw, lean only (yield after cooking)",21
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",6,"1 oz, boneless, cooked (yield after fat removed)",26
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",7,"1 oz, boneless, raw (yield after cooking, fat removed)",19
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",8,"1 cubic inch, boneless, cooked, fat removed",17
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",9,"1 cup, cooked, diced",134
23210030,"Veal, roasted, lean only eaten",,,2002,"Beef, excludes ground",10,Quantity not specified,67
23220010,"Veal, ground or patty, cooked",,,2004,Ground beef,1,"1 small patty (3.2 oz, raw, 5 patties per lb) (yield after cooking)",54
23220010,"Veal, ground or patty, cooked",,,2004,Ground beef,2,"1 medium patty (4 oz, raw, 4 patties per lb) (yield after cooking)",67
23220010,"Veal, ground or patty, cooked",,,2004,Ground beef,3,"1 large patty (5.3 oz, raw, 3 patties per lb) (yield after cooking)",89
23220010,"Veal, ground or patty, cooked",,,2004,Ground beef,4,"1 oz, cooked",28.35
23220010,"Veal, ground or patty, cooked",,,2004,Ground beef,5,"1 oz, raw (yield after cooking)",17
23220010,"Veal, ground or patty, cooked",,,2004,Ground beef,6,"1 cup, cooked",123
23220010,"Veal, ground or patty, cooked",,,2004,Ground beef,7,Quantity not specified,61
23220020,"Mock chicken legs, cooked",,,2002,"Beef, excludes ground",1,"1 oz, cooked",28.35
23220020,"Mock chicken legs, cooked",,,2002,"Beef, excludes ground",2,Quantity not specified,85
23220020,"Mock chicken legs, cooked",,,2002,"Beef, excludes ground",3,1 stick,85
23220030,"Veal patty, breaded, cooked",,,2002,"Beef, excludes ground",1,"1 small patty (3.2 oz, raw, 5 patties per lb) (yield after cooking)",64
23220030,"Veal patty, breaded, cooked",,,2002,"Beef, excludes ground",2,"1 medium patty (4 oz, raw, 4 patties per lb) (yield after cooking)",79
23220030,"Veal patty, breaded, cooked",,,2002,"Beef, excludes ground",3,"1 large patty (5.3 oz, raw, 3 patties per lb) (yield after cooking)",106
23220030,"Veal patty, breaded, cooked",,,2002,"Beef, excludes ground",4,"1 oz, cooked",28.35
23220030,"Veal patty, breaded, cooked",,,2002,"Beef, excludes ground",5,"1 oz, raw (yield after cooking)",20
23220030,"Veal patty, breaded, cooked",,,2002,"Beef, excludes ground",6,Quantity not specified,79
23220030,"Veal patty, breaded, cooked",,,2002,"Beef, excludes ground",7,"1 cubic inch, boneless, cooked",17
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",1,"1 oz, with bone, cooked (yield after bone removed)",22
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",2,"1 oz, with bone, raw (yield after cooking, bone removed)",20
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",3,"1 back (yield after cooking, bone removed)",35
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",4,"1 thigh (yield after cooking, bone removed)",45
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",5,"1 leg (yield after cooking, bone removed)",25
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",6,"1 hindleg (leg and thigh) (yield after cooking, bone removed)",70
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",7,"1 foreleg (yield after cooking, bone removed)",52
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",8,"1 rib piece (yield after cooking, bone removed)",32
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",9,"1 body piece (yield after cooking, bone removed) (use for breast)",105
23310000,"Rabbit, NS as to domestic or wild, cooked",,,2008,"Lamb, goat, game",10,Quantity not specified,85
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",1,"1 oz, with bone, cooked (yield after bone removed)",22
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",2,"1 oz, with bone, raw (yield after cooking, bone removed)",20
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",3,"1 small (2 lb, raw) (yield after cooking, bone removed)",635
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",4,"1 medium (4 lb, raw) (yield after cooking, bone removed)",1270
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",5,"1 back (yield after cooking, bone removed)",35
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",6,"1 thigh (yield after cooking, bone removed)",45
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",7,"1 leg (yield after cooking, bone removed)",25
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",8,"1 hindleg (leg and thigh) (yield after cooking, bone removed)",70
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",9,"1 foreleg (yield after cooking, bone removed)",52
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",10,"1 rib piece (yield after cooking, bone removed)",32
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",11,"1 body piece (yield after cooking, bone removed) (use for breast)",105
23311100,"Rabbit, domestic, NS as to cooking method",,,2008,"Lamb, goat, game",12,Quantity not specified,85
23311120,"Rabbit, NS as to domestic or wild, breaded, fried",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23311120,"Rabbit, NS as to domestic or wild, breaded, fried",,,2008,"Lamb, goat, game",2,"1 oz, boneless, raw (yield after cooking)",30
23311120,"Rabbit, NS as to domestic or wild, breaded, fried",,,2008,"Lamb, goat, game",3,"1 cup, cooked, diced",140
23311120,"Rabbit, NS as to domestic or wild, breaded, fried",,,2008,"Lamb, goat, game",4,Quantity not specified,85
23311200,"Rabbit, wild, cooked",,,2008,"Lamb, goat, game",1,"1 oz, with bone, cooked (yield after bone removed)",23
23311200,"Rabbit, wild, cooked",,,2008,"Lamb, goat, game",2,"1 oz, with bone, raw (yield after cooking, bone removed)",20
23311200,"Rabbit, wild, cooked",,,2008,"Lamb, goat, game",3,"1 cottontail (1.318 lb, raw, dressed) (yield after cooking, bone removed)",339
23311200,"Rabbit, wild, cooked",,,2008,"Lamb, goat, game",4,"1 snowshoe (2 lb, raw, dressed) (yield after cooking, bone removed)",509
23311200,"Rabbit, wild, cooked",,,2008,"Lamb, goat, game",5,"1 leg (leg and thigh) (yield after cooking, bone removed)",38
23311200,"Rabbit, wild, cooked",,,2008,"Lamb, goat, game",6,Quantity not specified,85
23321000,"Venison/deer, NFS",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23321000,"Venison/deer, NFS",,,2008,"Lamb, goat, game",2,"1 oz, boneless, raw (yield after cooking)",21
23321000,"Venison/deer, NFS",,,2008,"Lamb, goat, game",3,"1 cubic inch, boneless, cooked",18
23321000,"Venison/deer, NFS",,,2008,"Lamb, goat, game",4,"1 cup, cooked, diced",140
23321000,"Venison/deer, NFS",,,2008,"Lamb, goat, game",5,Quantity not specified,85
23321050,"Venison/deer, cured",,,2602,Cold cuts and cured meats,1,"1 oz, boneless, cooked",28.35
23321050,"Venison/deer, cured",,,2602,Cold cuts and cured meats,2,"1 cubic inch, boneless, cooked",18
23321050,"Venison/deer, cured",,,2602,Cold cuts and cured meats,3,Quantity not specified,42
23321100,"Venison/deer, roasted",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23321100,"Venison/deer, roasted",,,2008,"Lamb, goat, game",2,"1 oz, boneless, raw (yield after cooking)",21
23321100,"Venison/deer, roasted",,,2008,"Lamb, goat, game",3,"1 cubic inch, boneless, cooked",18
23321100,"Venison/deer, roasted",,,2008,"Lamb, goat, game",4,"1 cup, cooked, diced",140
23321100,"Venison/deer, roasted",,,2008,"Lamb, goat, game",5,Quantity not specified,85
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",2,"1 oz, boneless, raw (yield after cooking)",21
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",3,"1 cubic inch, boneless, cooked",17
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",4,"1 cup, ground, cooked",123
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",5,"1 cup, cooked, diced",134
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",6,"1 steak (yield after cooking, bone removed)",85
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",7,Quantity not specified,85
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",8,1 medium patty,85
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",9,"1 cup, NFS",123
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",10,1 elk patty,95
23321200,"Venison/deer steak, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",11,1 elk steak,127
23321250,"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23321250,"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",2,"1 oz, boneless, raw (yield after cooking)",25
23321250,"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",3,"1 cubic inch, boneless, cooked",18
23321250,"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",4,"1 cup, cooked, diced",140
23321250,"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",5,"1 steak (yield after cooking, bone removed)",101
23321250,"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",6,Quantity not specified,85
23321250,"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",,,2008,"Lamb, goat, game",7,1 elk steak,151
23321900,Venison/deer jerky,,,2602,Cold cuts and cured meats,1,"1 strip or stick (4"" long)",14
23321900,Venison/deer jerky,,,2602,Cold cuts and cured meats,2,1 cup,140
23321900,Venison/deer jerky,,,2602,Cold cuts and cured meats,3,Quantity not specified,47
23322100,Deer sausage,,,2602,Cold cuts and cured meats,1,1 oz,28.35
23322100,Deer sausage,,,2602,Cold cuts and cured meats,2,1 cubic inch,16
23322100,Deer sausage,,,2602,Cold cuts and cured meats,3,"1 slice (2"" dia x 1/4"" thick)",12
23322100,Deer sausage,,,2602,Cold cuts and cured meats,4,Quantity not specified,57
23322100,Deer sausage,,,2602,Cold cuts and cured meats,5,"1 cup, diced",138
23322100,Deer sausage,,,2602,Cold cuts and cured meats,6,"1 patty (3-7/8"" dia x 1/4"" thick)",27
23322300,"Deer chop, cooked",,,2008,"Lamb, goat, game",1,"1 oz, with bone, cooked (yield after bone removed)",23
23322300,"Deer chop, cooked",,,2008,"Lamb, goat, game",2,"1 oz, with bone, raw (yield after cooking, bone removed)",17
23322300,"Deer chop, cooked",,,2008,"Lamb, goat, game",3,"1 chop, with bone, raw (yield after cooking, bone removed)",89
23322300,"Deer chop, cooked",,,2008,"Lamb, goat, game",4,Quantity not specified,85
23322350,"Venison/deer ribs, cooked",,,2008,"Lamb, goat, game",1,"1 oz, with bone, raw (yield after cooking, bone removed)",17
23322350,"Venison/deer ribs, cooked",,,2008,"Lamb, goat, game",2,"1 oz, with bone, cooked (yield after bone removed)",23
23322350,"Venison/deer ribs, cooked",,,2008,"Lamb, goat, game",3,Quantity not specified,85
23322400,"Venison/deer, stewed",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23322400,"Venison/deer, stewed",,,2008,"Lamb, goat, game",2,"1 cubic inch, boneless, cooked",18
23322400,"Venison/deer, stewed",,,2008,"Lamb, goat, game",3,"1 cup, cooked, diced",140
23322400,"Venison/deer, stewed",,,2008,"Lamb, goat, game",4,Quantity not specified,85
23323100,"Moose, cooked",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23323100,"Moose, cooked",,,2008,"Lamb, goat, game",2,"1 cup, cooked, diced",140
23323100,"Moose, cooked",,,2008,"Lamb, goat, game",3,Quantity not specified,85
23323500,"Bear, cooked",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23323500,"Bear, cooked",,,2008,"Lamb, goat, game",2,Quantity not specified,85
23324100,"Caribou, cooked",,,2008,"Lamb, goat, game",1,"1 oz, boneless, cooked",28.35
23324100,"Caribou, cooked",,,2008,"Lamb, goat, game",2,Quantity not specified,85
23326100,"Bison, cooked",,,2008,"Lamb, goat, game",1,"1 cup, cooked",134
23326100,"Bison, cooked",,,2008,"Lamb, goat, game",2,1 cubic inch,17
23326100,"Bison, cooked",,,2008,"Lamb, goat, game",3,"1 oz, boneless, raw (yield after cooking)",22
23326100,"Bison, cooked",,,2008,"Lamb, goat, game",4,Quantity not specified,85
23326100,"Bison, cooked",,,2008,"Lamb, goat, game",5,"1 medium patty (4 oz, raw, 4 patties per lb) (yield after cooking)",85
23331100,"Ground hog, cooked",,,2008,"Lamb, goat, game",1,"1 oz, with bone, cooked (yield after bone removed)",23
23331100,"Ground hog, cooked",,,2008,"Lamb, goat, game",2,"1 oz, with bone, raw (yield after cooking, bone removed)",20
23331100,"Ground hog, cooked",,,2008,"Lamb, goat, game",3,"1 cup, cooked, diced",140
23331100,"Ground hog, cooked",,,2008,"Lamb, goat, game",4,Quantity not specified,85
23332100,"Opossum, cooked",,,2008,"Lamb, goat, game",1,"1 oz, with bone, cooked (yield after bone removed)",23
23332100,"Opossum, cooked",,,2008,"Lamb, goat, game",2,"1 oz, with bone, raw (yield after cooking, bone removed)",20
23332100,"Opossum, cooked",,,2008,"Lamb, goat, game",3,"1 cubic inch, boneless, cooked",18
